Total Respiratory,COVID-like,Influenza-like,RSV-like,week,Week Ending Date
0.0458,0.0139,0.0041,0.0019,23,2024-06-08
0.0435,0.014,0.004,0.0016,24,2024-06-15
0.0428,0.0149,0.0037,0.0014,25,2024-06-22
0.0432,0.0164,0.0046,0.0012,26,2024-06-29
0.0444,0.0189,0.0037,0.0011,27,2024-07-06
0.0478,0.0225,0.0041,0.001,28,2024-07-13
0.0527,0.0274,0.0044,0.0012,29,2024-07-20
0.0613,0.0352,0.0048,0.0013,30,2024-07-27
0.0718,0.0454,0.0056,0.0011,31,2024-08-03
0.0792,0.0512,0.006,0.0009,32,2024-08-10
0.0822,0.0521,0.0065,0.0014,33,2024-08-17
0.0796,0.0499,0.007,0.0014,34,2024-08-24
0.082,0.0491,0.0074,0.0019,35,2024-08-31
0.0843,0.0486,0.0078,0.0023,36,2024-09-07
0.0847,0.0447,0.0088,0.0029,37,2024-09-14
0.0757,0.0353,0.0079,0.003,38,2024-09-21
0.0675,0.0287,0.0074,0.0028,39,2024-09-28
0.0618,0.0232,0.0065,0.0025,40,2024-10-05
0.0618,0.0217,0.0067,0.0026,41,2024-10-12
0.064,0.0213,0.0076,0.0032,42,2024-10-19
0.0672,0.0219,0.0086,0.0038,43,2024-10-26
0.069,0.0225,0.0088,0.0041,44,2024-11-02
0.0694,0.0214,0.0089,0.0049,45,2024-11-09
0.0703,0.0205,0.0093,0.0056,46,2024-11-16
0.0753,0.0217,0.0103,0.0073,47,2024-11-23
0.0794,0.0231,0.0119,0.0103,48,2024-11-30
0.0871,0.0241,0.014,0.0116,49,2024-12-07
0.0969,0.0267,0.0213,0.0163,50,2024-12-14
0.1186,0.0333,0.032,0.0223,51,2024-12-21
0.1521,0.0387,0.0529,0.0279,52,2024-12-28
0.1604,0.0401,0.0586,0.0271,1,2025-01-04
0.1454,0.034,0.0566,0.0215,2,2025-01-11
0.1585,0.0304,0.0781,0.0173,3,2025-01-18
0.1957,0.0332,0.1126,0.017,4,2025-01-25
0.2127,0.0325,0.1303,0.0149,5,2025-02-01
0.2181,0.0335,0.1341,0.0131,6,2025-02-08
0.182,0.032,0.0991,0.012,7,2025-02-15
0.1488,0.0292,0.0726,0.011,8,2025-02-22
0.1259,0.0271,0.0537,0.009,9,2025-03-01
0.1163,0.0272,0.0474,0.0073,10,2025-03-08
0.1056,0.0277,0.0383,0.0073,11,2025-03-15
0.0897,0.0259,0.0275,0.0062,12,2025-03-22
0.0773,0.0236,0.0197,0.0059,13,2025-03-29
0.069,0.0222,0.0148,0.0051,14,2025-04-05
0.0594,0.0179,0.0102,0.0038,15,2025-04-12
0.0601,0.0196,0.0087,0.0038,16,2025-04-19
0.0565,0.0174,0.0071,0.0037,17,2025-04-26
0.0522,0.0155,0.0061,0.0035,18,2025-05-03
0.0506,0.0144,0.0059,0.0029,19,2025-05-10
0.051,0.0154,0.0055,0.0028,20,2025-05-17
0.0512,0.0151,0.0057,0.0026,21,2025-05-24
0.05,0.0158,0.0051,0.0025,22,2025-05-31
