Total Respiratory,COVID-like,Influenza-like,RSV-like,week,Week Ending Date
0.06820000000000001,0.041400000000000006,0.0103,0.0014000000000000002,34,2023-08-26
0.0732,0.0444,0.0114,0.0017,35,2023-09-02
0.08470000000000003,0.0512,0.0132,0.0026,36,2023-09-09
0.0867,0.051399999999999994,0.0149,0.0028000000000000004,37,2023-09-16
0.08510000000000001,0.047,0.0152,0.0036,38,2023-09-23
0.0776,0.039700000000000006,0.013800000000000002,0.0038,39,2023-09-30
0.07500000000000001,0.0355,0.014700000000000001,0.0049,40,2023-10-07
0.0738,0.0325,0.0152,0.006500000000000001,41,2023-10-14
0.07429999999999999,0.0298,0.017,0.0076,42,2023-10-21
0.07970000000000001,0.0317,0.0189,0.010100000000000001,43,2023-10-28
0.08560000000000002,0.0313,0.0199,0.013600000000000001,44,2023-11-04
0.1005,0.034300000000000004,0.0263,0.016300000000000002,45,2023-11-11
0.1091,0.0342,0.027200000000000002,0.019100000000000002,46,2023-11-18
0.1252,0.038200000000000005,0.0315,0.022400000000000007,47,2023-11-25
0.1391,0.0405,0.0313,0.023,48,2023-12-02
0.1562,0.040600000000000004,0.0359,0.0221,49,2023-12-09
0.19079999999999997,0.0451,0.0441,0.020200000000000003,50,2023-12-16
0.23450000000000001,0.051300000000000005,0.05200000000000001,0.020499999999999997,51,2023-12-23
0.2516,0.0594,0.0476,0.019100000000000002,52,2023-12-30
0.19310000000000002,0.054400000000000004,0.0325,0.0148,1,2024-01-06
0.1517,0.0473,0.023100000000000002,0.011600000000000001,2,2024-01-13
0.1279,0.042199999999999994,0.0206,0.0083,3,2024-01-20
0.13190000000000002,0.0461,0.022799999999999997,0.0073,4,2024-01-27
0.12340000000000001,0.043500000000000004,0.021400000000000002,0.0072,5,2024-02-03
0.1222,0.0461,0.0222,0.0063999999999999994,6,2024-02-10
0.1168,0.043500000000000004,0.022000000000000002,0.005600000000000001,7,2024-02-17
0.1134,0.040999999999999995,0.0218,0.0049,8,2024-02-24
0.1053,0.0366,0.021500000000000002,0.0050999999999999995,9,2024-03-02
0.0888,0.028200000000000003,0.018500000000000006,0.0049,10,2024-03-09
0.07740000000000001,0.023200000000000002,0.0171,0.0046,11,2024-03-16
0.07350000000000001,0.0218,0.0176,0.005,12,2024-03-23
0.07,0.0195,0.0175,0.0042,13,2024-03-30
0.06849999999999999,0.020099999999999996,0.016,0.0034999999999999996,14,2024-04-06
0.0611,0.0177,0.0142,0.0033,15,2024-04-13
0.0553,0.015300000000000001,0.0131,0.0031,16,2024-04-20
0.053200000000000004,0.013800000000000002,0.013300000000000001,0.0027,17,2024-04-27
0.052700000000000004,0.0142,0.013900000000000001,0.0029,18,2024-05-04
0.0495,0.0131,0.013600000000000001,0.0025,19,2024-05-11
0.0509,0.013300000000000001,0.013500000000000003,0.0026,20,2024-05-18
0.048400000000000006,0.013000000000000001,0.012,0.002,21,2024-05-25
0.04769999999999999,0.013300000000000001,0.0128,0.002,22,2024-06-01
0.0453,0.013300000000000001,0.0109,0.0019,23,2024-06-08
0.0429,0.0134,0.0106,0.0015999999999999999,24,2024-06-15
0.0424,0.0143,0.009399999999999999,0.0014000000000000002,25,2024-06-22
0.0429,0.0158,0.0084,0.0012,26,2024-06-29
0.0441,0.018600000000000002,0.0086,0.0011,27,2024-07-06
0.0475,0.022000000000000002,0.008100000000000001,0.001,28,2024-07-13
0.0521,0.0268,0.0089,0.0012,29,2024-07-20
0.060700000000000004,0.0347,0.009399999999999999,0.0013,30,2024-07-27
0.07090000000000002,0.044300000000000006,0.01,0.0011,31,2024-08-03
0.0771,0.049600000000000005,0.0109,0.0009,32,2024-08-10
0.0762,0.047900000000000005,0.0109,0.0013,33,2024-08-17
