Total Respiratory,RSV-like,Influenza-like,COVID-like,Week,Week Ending Date
0.168,0.0111,0.039,0.0429,48,2022-12-03
0.1444,0.0097,0.0311,0.0471,49,2022-12-10
0.1354,0.0083,0.0264,0.053200000000000004,50,2022-12-17
0.1405,0.0084,0.028300000000000002,0.0676,51,2022-12-24
0.1484,0.006999999999999999,0.0275,0.08130000000000001,52,2022-12-31
0.1359,0.0066,0.0222,0.0735,1,2023-01-07
0.1061,0.005,0.0169,0.056299999999999996,2,2023-01-14
0.096,0.0044,0.017,0.0504,3,2023-01-21
0.08990000000000001,0.0042,0.0172,0.0462,4,2023-01-28
0.08960000000000001,0.0042,0.0181,0.044500000000000005,5,2023-02-04
0.092,0.0040999999999999995,0.0199,0.044500000000000005,6,2023-02-11
0.0848,0.0040999999999999995,0.0177,0.0395,7,2023-02-18
0.0802,0.0033,0.0189,0.036000000000000004,8,2023-02-25
0.0718,0.0034999999999999996,0.0178,0.030600000000000002,9,2023-03-04
0.066,0.0033,0.0181,0.0264,10,2023-03-11
0.0684,0.0031,0.019,0.0275,11,2023-03-18
0.0663,0.0032,0.019,0.024900000000000002,12,2023-03-25
0.064,0.0028000000000000004,0.018600000000000002,0.0245,13,2023-04-01
0.058600000000000006,0.0027,0.0173,0.021099999999999997,14,2023-04-08
0.0538,0.0025,0.015300000000000001,0.018799999999999997,15,2023-04-15
0.0489,0.0023,0.0134,0.0173,16,2023-04-22
0.0467,0.002,0.0129,0.0159,17,2023-04-29
0.0464,0.002,0.0127,0.0154,18,2023-05-06
0.0467,0.002,0.0126,0.0148,19,2023-05-13
0.046900000000000004,0.0019,0.0121,0.015,20,2023-05-20
0.044000000000000004,0.0016,0.0123,0.014499999999999999,21,2023-05-27
0.0451,0.0016,0.0129,0.015,22,2023-06-03
0.0418,0.0014000000000000002,0.0113,0.0128,23,2023-06-10
0.0406,0.0014000000000000002,0.0102,0.0134,24,2023-06-17
0.0374,0.0013,0.0091,0.012199999999999999,25,2023-06-24
0.035,0.0011,0.008199999999999999,0.0118,26,2023-07-01
0.0347,0.001,0.0078000000000000005,0.0125,27,2023-07-08
0.0341,0.0009,0.0069,0.0126,28,2023-07-15
0.0383,0.0009,0.0075,0.015600000000000001,29,2023-07-22
0.0398,0.001,0.0070999999999999995,0.018600000000000002,30,2023-07-29
0.0434,0.0012,0.0077,0.021099999999999997,31,2023-08-05
0.0492,0.0012,0.008199999999999999,0.027200000000000002,32,2023-08-12
0.056900000000000006,0.0013,0.0095,0.0333,33,2023-08-19
0.0655,0.0014000000000000002,0.009899999999999999,0.0397,34,2023-08-26
0.0706,0.0016,0.0111,0.0431,35,2023-09-02
0.0809,0.0023,0.0127,0.0492,36,2023-09-09
0.0828,0.0027,0.0144,0.0492,37,2023-09-16
0.08109999999999999,0.0034000000000000002,0.014499999999999999,0.0449,38,2023-09-23
0.0738,0.0037,0.0131,0.0377,39,2023-09-30
0.0717,0.004699999999999999,0.0141,0.0338,40,2023-10-07
0.071,0.0060999999999999995,0.0147,0.0311,41,2023-10-14
0.0707,0.0072,0.0163,0.0282,42,2023-10-21
0.0761,0.0097,0.0183,0.0302,43,2023-10-28
0.081,0.0129,0.019,0.029500000000000002,44,2023-11-04
0.0955,0.015600000000000001,0.0254,0.032400000000000005,45,2023-11-11
0.1039,0.0182,0.0263,0.0326,46,2023-11-18
0.1182,0.0216,0.0302,0.0361,47,2023-11-25
0.132,0.0223,0.0301,0.0383,48,2023-12-02
0.14730000000000001,0.0213,0.034300000000000004,0.0385,49,2023-12-09
0.1804,0.0196,0.042300000000000004,0.0426,50,2023-12-16
0.222,0.019799999999999998,0.049699999999999994,0.0489,51,2023-12-23
0.23879999999999998,0.018600000000000002,0.0458,0.0565,52,2023-12-30
0.18489999999999998,0.0144,0.0313,0.052000000000000005,1,2024-01-06
0.1467,0.011399999999999999,0.022400000000000003,0.0458,2,2024-01-13
0.1272,0.008199999999999999,0.0206,0.0418,3,2024-01-20
0.13119999999999998,0.0073,0.022799999999999997,0.045899999999999996,4,2024-01-27
0.12269999999999999,0.0070999999999999995,0.021400000000000002,0.0431,5,2024-02-03
0.1202,0.0062,0.0222,0.0452,6,2024-02-10
0.1074,0.0049,0.021,0.0398,7,2024-02-17
