Total Respiratory,COVID-like,Influenza-like,RSV-like,week,Week Ending Date
0.1912,0.0459,0.0923,0.0202,50,2023-12-16
0.235,0.0521,0.1296,0.0205,51,2023-12-23
0.2519,0.0604,0.1378,0.0191,52,2023-12-30
0.1938,0.0555,0.0861,0.0148,1,2024-01-06
0.1523,0.0481,0.0599,0.0116,2,2024-01-13
0.1286,0.0429,0.0476,0.0083,3,2024-01-20
0.1325,0.0469,0.0477,0.0073,4,2024-01-27
0.1242,0.0442,0.0407,0.0073,5,2024-02-03
0.1227,0.0468,0.0374,0.0064,6,2024-02-10
0.1173,0.0442,0.0354,0.0057,7,2024-02-17
0.1139,0.0416,0.0329,0.0049,8,2024-02-24
0.1057,0.0374,0.03,0.0051,9,2024-03-02
0.0894,0.0291,0.0238,0.0049,10,2024-03-09
0.0778,0.024,0.0179,0.0046,11,2024-03-16
0.0739,0.0226,0.0146,0.005,12,2024-03-23
0.0703,0.0203,0.0144,0.0042,13,2024-03-30
0.0689,0.0207,0.0132,0.0035,14,2024-04-06
0.0615,0.0183,0.0095,0.0033,15,2024-04-13
0.0556,0.0159,0.0074,0.0031,16,2024-04-20
0.0537,0.0146,0.0067,0.0028,17,2024-04-27
0.0531,0.0148,0.0063,0.003,18,2024-05-04
0.0499,0.0137,0.0051,0.0025,19,2024-05-11
0.0513,0.0142,0.0061,0.0026,20,2024-05-18
0.0488,0.0137,0.0051,0.002,21,2024-05-25
0.0481,0.0139,0.0046,0.002,22,2024-06-01
0.0458,0.0139,0.0041,0.0019,23,2024-06-08
0.0435,0.0139,0.004,0.0016,24,2024-06-15
0.0428,0.0149,0.0037,0.0014,25,2024-06-22
0.0432,0.0163,0.0046,0.0012,26,2024-06-29
0.0444,0.0189,0.0037,0.0011,27,2024-07-06
0.0477,0.0225,0.0041,0.001,28,2024-07-13
0.0526,0.0274,0.0044,0.0012,29,2024-07-20
0.0612,0.0352,0.0048,0.0013,30,2024-07-27
0.0717,0.0453,0.0056,0.0011,31,2024-08-03
0.0791,0.0512,0.006,0.0009,32,2024-08-10
0.0821,0.052,0.0065,0.0014,33,2024-08-17
0.0794,0.0497,0.007,0.0014,34,2024-08-24
0.0818,0.049,0.0074,0.0019,35,2024-08-31
0.0842,0.0485,0.0078,0.0023,36,2024-09-07
0.0845,0.0446,0.0088,0.0029,37,2024-09-14
0.0751,0.0351,0.0078,0.003,38,2024-09-21
0.067,0.0285,0.0073,0.0027,39,2024-09-28
0.0613,0.0231,0.0065,0.0025,40,2024-10-05
0.0613,0.0216,0.0067,0.0025,41,2024-10-12
0.0634,0.0212,0.0076,0.0032,42,2024-10-19
0.0666,0.0217,0.0085,0.0038,43,2024-10-26
0.0683,0.0223,0.0087,0.004,44,2024-11-02
0.069,0.0213,0.0088,0.0048,45,2024-11-09
0.0699,0.0203,0.0093,0.0055,46,2024-11-16
0.0749,0.0215,0.0103,0.0071,47,2024-11-23
0.0776,0.0226,0.0118,0.0098,48,2024-11-30
0.0788,0.0221,0.0136,0.0093,49,2024-12-07
