Total Respiratory,COVID-like,Influenza-like,RSV-like,week,Week Ending Date
0.1227,0.0468,0.0374,0.0064,6,2024-02-10
0.1174,0.0442,0.0354,0.0057,7,2024-02-17
0.114,0.0416,0.0329,0.0049,8,2024-02-24
0.1057,0.0374,0.03,0.0051,9,2024-03-02
0.0894,0.0291,0.0238,0.0049,10,2024-03-09
0.0779,0.024,0.0179,0.0046,11,2024-03-16
0.074,0.0226,0.0146,0.005,12,2024-03-23
0.0704,0.0203,0.0144,0.0042,13,2024-03-30
0.0689,0.0207,0.0132,0.0035,14,2024-04-06
0.0615,0.0183,0.0095,0.0033,15,2024-04-13
0.0557,0.0159,0.0074,0.0031,16,2024-04-20
0.0537,0.0146,0.0067,0.0028,17,2024-04-27
0.0531,0.0148,0.0063,0.003,18,2024-05-04
0.0499,0.0137,0.0051,0.0025,19,2024-05-11
0.0514,0.0142,0.0061,0.0026,20,2024-05-18
0.0489,0.0137,0.0051,0.002,21,2024-05-25
0.0481,0.0139,0.0046,0.002,22,2024-06-01
0.0458,0.0139,0.0041,0.0019,23,2024-06-08
0.0435,0.014,0.004,0.0016,24,2024-06-15
0.0428,0.0149,0.0037,0.0014,25,2024-06-22
0.0432,0.0163,0.0046,0.0012,26,2024-06-29
0.0444,0.0189,0.0037,0.0011,27,2024-07-06
0.0477,0.0225,0.0041,0.001,28,2024-07-13
0.0526,0.0274,0.0044,0.0012,29,2024-07-20
0.0613,0.0352,0.0048,0.0013,30,2024-07-27
0.0718,0.0453,0.0056,0.0011,31,2024-08-03
0.0791,0.0512,0.006,0.0009,32,2024-08-10
0.0821,0.052,0.0065,0.0014,33,2024-08-17
0.0795,0.0498,0.007,0.0014,34,2024-08-24
0.0819,0.049,0.0074,0.0019,35,2024-08-31
0.0842,0.0485,0.0078,0.0023,36,2024-09-07
0.0845,0.0446,0.0088,0.0029,37,2024-09-14
0.0752,0.0351,0.0078,0.003,38,2024-09-21
0.067,0.0285,0.0073,0.0027,39,2024-09-28
0.0613,0.0231,0.0065,0.0025,40,2024-10-05
0.0614,0.0216,0.0067,0.0025,41,2024-10-12
0.0634,0.0211,0.0076,0.0032,42,2024-10-19
0.0666,0.0217,0.0085,0.0037,43,2024-10-26
0.0683,0.0223,0.0087,0.004,44,2024-11-02
0.0691,0.0213,0.0088,0.0048,45,2024-11-09
0.0701,0.0204,0.0093,0.0056,46,2024-11-16
0.0752,0.0215,0.0103,0.0072,47,2024-11-23
0.0788,0.0228,0.0118,0.0102,48,2024-11-30
0.0865,0.0239,0.0141,0.0113,49,2024-12-07
0.0966,0.0265,0.0214,0.0161,50,2024-12-14
0.1183,0.0332,0.0321,0.0219,51,2024-12-21
0.1518,0.0385,0.0529,0.0275,52,2024-12-28
0.1598,0.04,0.0585,0.0265,1,2025-01-04
0.1446,0.0338,0.0563,0.0208,2,2025-01-11
0.157,0.0301,0.0776,0.0166,3,2025-01-18
0.1915,0.0324,0.1102,0.0158,4,2025-01-25
0.1957,0.0304,0.1181,0.0124,5,2025-02-01
