Total Respiratory,COVID-like,Influenza-like,RSV-like,week,Week Ending Date
0.10940000000000001,0.0344,0.0239,0.019100000000000002,46,2023-11-18
0.1257,0.038900000000000004,0.0339,0.022400000000000007,47,2023-11-25
0.1394,0.04110000000000001,0.0436,0.023100000000000002,48,2023-12-02
0.1565,0.0412,0.061700000000000005,0.0221,49,2023-12-09
0.1912,0.0459,0.09230000000000001,0.020200000000000003,50,2023-12-16
0.23500000000000001,0.0521,0.12960000000000002,0.020499999999999997,51,2023-12-23
0.2519,0.0604,0.1378,0.019100000000000002,52,2023-12-30
0.1938,0.0555,0.08610000000000001,0.0148,1,2024-01-06
0.15230000000000002,0.048100000000000004,0.0599,0.011600000000000001,2,2024-01-13
0.12860000000000002,0.0429,0.0476,0.0083,3,2024-01-20
0.1325,0.046900000000000004,0.04769999999999999,0.0073,4,2024-01-27
0.1241,0.0442,0.0407,0.0073,5,2024-02-03
0.1227,0.046799999999999994,0.0374,0.0063999999999999994,6,2024-02-10
0.1173,0.0442,0.0354,0.005699999999999999,7,2024-02-17
0.1139,0.041600000000000005,0.032900000000000006,0.0049,8,2024-02-24
0.1057,0.0374,0.030000000000000002,0.0050999999999999995,9,2024-03-02
0.08929999999999999,0.0291,0.0238,0.0049,10,2024-03-09
0.07780000000000001,0.024,0.017900000000000003,0.0046,11,2024-03-16
0.07390000000000001,0.022600000000000002,0.0146,0.005,12,2024-03-23
0.0703,0.020300000000000002,0.014400000000000001,0.0042,13,2024-03-30
0.0689,0.0207,0.0132,0.0034999999999999996,14,2024-04-06
0.06150000000000001,0.0183,0.0095,0.0033,15,2024-04-13
0.055600000000000004,0.0159,0.0073999999999999995,0.0031,16,2024-04-20
0.053700000000000005,0.0146,0.0067,0.0028000000000000004,17,2024-04-27
0.053099999999999994,0.0148,0.0063,0.003,18,2024-05-04
0.0499,0.0137,0.0050999999999999995,0.0025,19,2024-05-11
0.051300000000000005,0.0142,0.006099999999999999,0.0026,20,2024-05-18
0.0488,0.0137,0.0050999999999999995,0.002,21,2024-05-25
0.048100000000000004,0.013900000000000001,0.0046,0.002,22,2024-06-01
0.0458,0.013900000000000001,0.0040999999999999995,0.0019,23,2024-06-08
0.0434,0.013900000000000001,0.004,0.0015999999999999999,24,2024-06-15
0.04280000000000001,0.0149,0.0036999999999999997,0.0014000000000000002,25,2024-06-22
0.0432,0.016300000000000002,0.0046,0.0012,26,2024-06-29
0.0444,0.0189,0.0036999999999999997,0.0011,27,2024-07-06
0.04769999999999999,0.022500000000000003,0.0040999999999999995,0.001,28,2024-07-13
0.0526,0.0274,0.0044,0.0012,29,2024-07-20
0.061200000000000004,0.0352,0.0048,0.0013,30,2024-07-27
0.0717,0.0453,0.005600000000000001,0.0011,31,2024-08-03
0.0791,0.0512,0.006,0.0009,32,2024-08-10
0.0821,0.05200000000000001,0.006500000000000001,0.0014000000000000002,33,2024-08-17
0.07940000000000001,0.049699999999999994,0.006999999999999999,0.0014000000000000002,34,2024-08-24
0.08170000000000001,0.048900000000000006,0.0073999999999999995,0.0019,35,2024-08-31
0.08420000000000001,0.048499999999999995,0.0078,0.0023,36,2024-09-07
0.0845,0.0446,0.0088,0.0029,37,2024-09-14
0.0751,0.0351,0.0078,0.003,38,2024-09-21
0.0669,0.0284,0.0073,0.0027,39,2024-09-28
0.061200000000000004,0.023,0.006500000000000001,0.0025,40,2024-10-05
0.0613,0.0216,0.0067,0.0025,41,2024-10-12
0.0634,0.021099999999999997,0.0076,0.0031,42,2024-10-19
0.0661,0.0216,0.0085,0.0036999999999999997,43,2024-10-26
0.0674,0.022000000000000002,0.0087,0.0039,44,2024-11-02
0.0645,0.020200000000000003,0.0086,0.0042,45,2024-11-09
